s0_level,global_index,value,degree,minimal_polynomial
5,1199,3.87986,8,1-3 t-4 t^2+t^3+5 t^4+t^5-4 t^6-3 t^7+t^8
5,1200,3.88151,8,1-4 t+t^2-t^3-4 t^4-t^5+t^6-4 t^7+t^8
5,1201,3.88196,8,1-3 t-3 t^2-t^3-2 t^4-t^5-3 t^6-3 t^7+t^8
5,1204,3.88256,8,1-6 t+12 t^2-19 t^3+21 t^4-19 t^5+12 t^6-6 t^7+t^8
5,1205,3.88271,10,1-2 t-6 t^2-6 t^3+2 t^4+6 t^5+2 t^6-6 t^7-6 t^8-2 t^9+t^10
5,1207,3.88389,10,1-3 t-3 t^2-2 t^3+5 t^5-2 t^7-3 t^8-3 t^9+t^10
5,1208,3.88517,10,1-4 t+2 t^3-t^4-t^6+2 t^7-4 t^9+t^10
5,1209,3.88552,8,1-3 t-2 t^2-4 t^3-5 t^4-4 t^5-2 t^6-3 t^7+t^8
5,1210,3.88628,8,1-4 t+t^2-3 t^3+4 t^4-3 t^5+t^6-4 t^7+t^8
5,1211,3.88706,8,1-5 t+5 t^2-3 t^3+2 t^4-3 t^5+5 t^6-5 t^7+t^8
5,1213,3.88796,8,1-2 t-5 t^2-7 t^3-6 t^4-7 t^5-5 t^6-2 t^7+t^8
5,1214,3.88821,10,1-5 t+4 t^2+2 t^3-3 t^4+t^5-3 t^6+2 t^7+4 t^8-5 t^9+t^10
5,1216,3.89039,6,1-3 t-2 t^2-5 t^3-2 t^4-3 t^5+t^6
5,1220,3.89506,8,1-6 t+11 t^2-14 t^3+15 t^4-14 t^5+11 t^6-6 t^7+t^8
5,1223,3.8971,8,1-4 t+t^3+2 t^4+t^5-4 t^7+t^8
5,1224,3.89733,8,1-3 t-3 t^2-2 t^3+t^4-2 t^5-3 t^6-3 t^7+t^8
5,1227,3.89864,10,1-4 t+t^2-2 t^3-2 t^4+3 t^5-2 t^6-2 t^7+t^8-4 t^9+t^10
5,1229,3.90177,8,1-5 t+6 t^2-9 t^3+11 t^4-9 t^5+6 t^6-5 t^7+t^8
5,1232,3.90315,8,1-4 t+t^2-3 t^3+3 t^4-3 t^5+t^6-4 t^7+t^8
5,1233,3.90368,10,1-5 t+5 t^2-3 t^3+3 t^5-3 t^7+5 t^8-5 t^9+t^10
5,1234,3.90474,8,1-6 t+10 t^2-8 t^3+5 t^4-8 t^5+10 t^6-6 t^7+t^8
5,1235,3.9051,10,1-3 t-4 t^2+t^3+3 t^4+3 t^6+t^7-4 t^8-3 t^9+t^10
5,1236,3.90565,10,1-5 t+5 t^2-4 t^3+6 t^4-7 t^5+6 t^6-4 t^7+5 t^8-5 t^9+t^10
5,1237,3.90588,8,1-4 t+2 t^2-6 t^3-6 t^5+2 t^6-4 t^7+t^8
5,1238,3.90784,10,1-4 t+2 t^3-t^4-5 t^5-t^6+2 t^7-4 t^9+t^10
5,1239,3.90788,8,1-2 t-5 t^2-7 t^3-8 t^4-7 t^5-5 t^6-2 t^7+t^8
5,1240,3.90839,6,1-5 t+6 t^2-8 t^3+6 t^4-5 t^5+t^6
5,1242,3.90925,8,1-5 t+5 t^2-3 t^3+t^4-3 t^5+5 t^6-5 t^7+t^8
5,1243,3.91054,8,1-3 t-3 t^2-2 t^3-2 t^5-3 t^6-3 t^7+t^8
5,1244,3.91089,10,1-2 t-5 t^2-7 t^3-8 t^4-7 t^5-8 t^6-7 t^7-5 t^8-2 t^9+t^10
5,1245,3.91193,8,1-4 t+2 t^3-3 t^4+2 t^5-4 t^7+t^8
5,1246,3.91227,8,1-3 t-2 t^2-5 t^3-3 t^4-5 t^5-2 t^6-3 t^7+t^8
5,1247,3.9124,10,1-4 t+t^3+t^4+t^5+t^6+t^7-4 t^9+t^10
5,1249,3.91434,10,1-5 t+4 t^2+2 t^3-5 t^4+5 t^5-5 t^6+2 t^7+4 t^8-5 t^9+t^10
5,1250,3.91487,8,1-4 t+t^3+t^4+t^5-4 t^7+t^8
5,1251,3.91527,10,1-3 t-3 t^2-2 t^3-t^4-t^6-2 t^7-3 t^8-3 t^9+t^10
5,1252,3.91612,10,1-4 t+t^3+2 t^4-4 t^5+2 t^6+t^7-4 t^9+t^10
5,1253,3.91654,10,1-5 t+4 t^2+t^3+t^4-5 t^5+t^6+t^7+4 t^8-5 t^9+t^10
5,1254,3.91679,8,1-4 t+t^2-2 t^3-2 t^4-2 t^5+t^6-4 t^7+t^8
5,1255,3.91736,8,1-5 t+4 t^2+3 t^3-9 t^4+3 t^5+4 t^6-5 t^7+t^8
5,1258,3.91833,10,1-4 t+t^2-3 t^3+2 t^4-3 t^5+2 t^6-3 t^7+t^8-4 t^9+t^10
5,1259,3.91835,8,1-2 t-6 t^2-5 t^3-2 t^4-5 t^5-6 t^6-2 t^7+t^8
5,1260,3.91891,8,1-5 t+6 t^2-8 t^3+6 t^4-8 t^5+6 t^6-5 t^7+t^8
5,1261,3.91959,8,1-4 t+t^2-3 t^3+2 t^4-3 t^5+t^6-4 t^7+t^8
5,1262,3.92131,10,1-3 t-3 t^2-4 t^3+5 t^4+4 t^5+5 t^6-4 t^7-3 t^8-3 t^9+t^10
5,1263,3.92133,8,1-5 t+4 t^2+2 t^3-5 t^4+2 t^5+4 t^6-5 t^7+t^8
5,1264,3.92216,10,1-3 t-3 t^2-t^3-4 t^4-5 t^5-4 t^6-t^7-3 t^8-3 t^9+t^10
5,1265,3.92247,6,1-5 t+5 t^2-4 t^3+5 t^4-5 t^5+t^6
5,1266,3.92307,10,1-4 t-t^2+5 t^3+2 t^4-7 t^5+2 t^6+5 t^7-t^8-4 t^9+t^10
5,1267,3.92352,8,1-3 t-3 t^2-2 t^3-t^4-2 t^5-3 t^6-3 t^7+t^8
5,1268,3.9237,8,1-4 t+2 t^2-7 t^3+3 t^4-7 t^5+2 t^6-4 t^7+t^8
5,1269,3.92444,8,1-3 t-2 t^2-5 t^3-4 t^4-5 t^5-2 t^6-3 t^7+t^8
5,1270,3.92494,8,1-3 t-4 t^2+6 t^4-4 t^6-3 t^7+t^8
5,1271,3.92512,10,1-2 t-6 t^2-6 t^3-t^4+3 t^5-t^6-6 t^7-6 t^8-2 t^9+t^10
5,1272,3.92678,10,1-4 t+2 t^3-3 t^4-t^5-3 t^6+2 t^7-4 t^9+t^10
5,1276,3.93064,8,1-5 t+5 t^2-3 t^3-3 t^5+5 t^6-5 t^7+t^8
5,1277,3.93101,8,1-t-7 t^2-13 t^3-15 t^4-13 t^5-7 t^6-t^7+t^8
5,1278,3.9317,10,1-4 t+t^3-t^4+5 t^5-t^6+t^7-4 t^9+t^10
5,1281,3.9346,8,1-5 t+5 t^2-4 t^3+4 t^4-4 t^5+5 t^6-5 t^7+t^8
5,1282,3.93538,8,1-4 t+4 t^4-4 t^7+t^8
5,1284,3.93626,8,1-3 t-3 t^2-2 t^3-2 t^4-2 t^5-3 t^6-3 t^7+t^8
5,1285,3.93641,8,1-3 t-2 t^2-5 t^3-5 t^4-5 t^5-2 t^6-3 t^7+t^8
5,1287,3.93816,10,1-2 t-7 t^2-4 t^3+4 t^4+7 t^5+4 t^6-4 t^7-7 t^8-2 t^9+t^10
5,1289,3.9415,10,1-2 t-7 t^2-5 t^3+6 t^4+13 t^5+6 t^6-5 t^7-7 t^8-2 t^9+t^10
5,1291,3.9425,8,1-5 t+6 t^2-9 t^3+9 t^4-9 t^5+6 t^6-5 t^7+t^8
5,1293,3.94377,8,1-5 t+4 t^2+2 t^3-6 t^4+2 t^5+4 t^6-5 t^7+t^8
5,1294,3.94381,10,1-5 t+6 t^2-10 t^3+13 t^4-11 t^5+13 t^6-10 t^7+6 t^8-5 t^9+t^10
5,1296,3.9454,10,1-6 t+11 t^2-15 t^3+18 t^4-19 t^5+18 t^6-15 t^7+11 t^8-6 t^9+t^10
5,1297,3.94567,8,1-4 t+2 t^3-5 t^4+2 t^5-4 t^7+t^8
5,1299,3.94879,8,1-3 t-3 t^2-2 t^3-3 t^4-2 t^5-3 t^6-3 t^7+t^8
5,1300,3.94899,8,1-4 t+t^3-t^4+t^5-4 t^7+t^8
5,1301,3.95057,8,1-3 t-2 t^2-6 t^3-2 t^4-6 t^5-2 t^6-3 t^7+t^8
5,1302,3.95217,8,1-3 t-4 t^2+4 t^4-4 t^6-3 t^7+t^8
5,1303,3.95239,8,1-4 t+3 t^4-4 t^7+t^8
5,1304,3.95245,10,1-3 t-4 t^2+3 t^4+2 t^5+3 t^6-4 t^8-3 t^9+t^10
5,1305,3.95337,8,1-4 t+2 t^2-7 t^3+t^4-7 t^5+2 t^6-4 t^7+t^8
