s0_level,index,value,degree,minimal_polynomial
3,199,2.65459,10,1-4 t+4 t^2-5 t^4+7 t^5-5 t^6+4 t^8-4 t^9+t^10
3,200,2.65691,8,1-2 t-t^2-t^3-2 t^4-t^5-t^6-2 t^7+t^8
3,201,2.6582,8,1-2 t-t^2-2 t^3+t^4-2 t^5-t^6-2 t^7+t^8
3,202,2.66435,8,1-2 t-2 t^2+2 t^4-2 t^6-2 t^7+t^8
4,203,2.66908,8,1-t-2 t^2-4 t^3-5 t^4-4 t^5-2 t^6-t^7+t^8
3,204,2.67072,8,1-3 t+2 t^2-3 t^3+t^4-3 t^5+2 t^6-3 t^7+t^8
4,205,2.67307,8,1-3 t+2 t^2-4 t^3+4 t^4-4 t^5+2 t^6-3 t^7+t^8
3,206,2.67575,8,1-3 t+t^2+t^3-4 t^4+t^5+t^6-3 t^7+t^8
3,207,2.67856,8,1-3 t+t^2-t^4+t^6-3 t^7+t^8
4,208,2.68163,8,1-3 t+t^2-t^3+2 t^4-t^5+t^6-3 t^7+t^8
3,209,2.685,8,1-3 t+t^2-2 t^3+5 t^4-2 t^5+t^6-3 t^7+t^8
4,210,2.68676,8,1-2 t-4 t^3-t^4-4 t^5-2 t^7+t^8
3,211,2.688,10,1-2 t-2 t^2+t^4+t^6-2 t^8-2 t^9+t^10
3,212,2.69312,6,1-t-3 t^2-3 t^3-3 t^4-t^5+t^6
4,213,2.69544,8,1-2 t-t^2-2 t^3-2 t^5-t^6-2 t^7+t^8
3,214,2.69914,8,1-4 t+5 t^2-5 t^3+4 t^4-5 t^5+5 t^6-4 t^7+t^8
4,215,2.70165,8,1-t-3 t^2-3 t^3-2 t^4-3 t^5-3 t^6-t^7+t^8
3,216,2.70457,8,1-4 t+5 t^2-6 t^3+7 t^4-6 t^5+5 t^6-4 t^7+t^8
4,217,2.70645,8,1-2 t-2 t^2+t^4-2 t^6-2 t^7+t^8
3,218,2.70795,10,1-3 t+t^2-2 t^4+2 t^5-2 t^6+t^8-3 t^9+t^10
3,219,2.71121,8,1-4 t+4 t^2-t^3-t^4-t^5+4 t^6-4 t^7+t^8
4,220,2.71337,10,1-2 t-2 t^2+t^3-t^4-3 t^5-t^6+t^7-2 t^8-2 t^9+t^10
4,221,2.71454,10,1-3 t+t^2-t^3+3 t^5-t^7+t^8-3 t^9+t^10
4,222,2.71622,10,1-t-3 t^2-4 t^3-t^4-t^6-4 t^7-3 t^8-t^9+t^10
3,223,2.71825,6,1-2 t-t^2-2 t^3-t^4-2 t^5+t^6
